table,column,classification,approved,approved_by,approved_date,note
disease_cases.parquet,clock_true,derived,,,,
disease_cases.parquet,day_of_phase,derived,,,,
disease_cases.parquet,day_of_phase_clean,derived,,,,
disease_cases.parquet,days_to_death,derived,,,,
disease_cases.parquet,death_window_days,derived,,,,
disease_cases.parquet,disease,derived,,,,
disease_cases.parquet,duration_days,derived,,,,
disease_cases.parquet,end_date,derived,,,,
disease_cases.parquet,exit_date,derived,,,,
disease_cases.parquet,exit_reason_group,derived,,,,
disease_cases.parquet,max_temp,derived,,,,
disease_cases.parquet,n_treatments,derived,,,,
disease_cases.parquet,outcome,derived,,,,
disease_cases.parquet,pasture_name,derived,,,,
disease_cases.parquet,phase_at_onset,derived,,,,
disease_cases.parquet,phase_at_start,derived,,,,
disease_cases.parquet,phase_length_days,derived,,,,
disease_cases.parquet,start_date,derived,,,,
disease_cases.parquet,substances,derived,,,,
exclusions.parquet,detail,derived,,,,
exclusions.parquet,n_animals,derived,,,,
exclusions.parquet,n_records,derived,,,,
exclusions.parquet,reason,derived,,,,
exclusions.parquet,recorded,derived,,,,
exclusions.parquet,recoverable,derived,,,,
exclusions.parquet,table,derived,,,,
locations.parquet,age_days_at_start,derived,,,,
locations.parquet,days,derived,,,,
locations.parquet,entry_date,derived,,,,
locations.parquet,exit_date,derived,,,,
locations.parquet,from_date,derived,,,,
locations.parquet,is_last,derived,,,,
locations.parquet,pasture_name,derived,,,,
locations.parquet,phase_at_start,derived,,,,
locations.parquet,seq,derived,,,,
locations.parquet,to_date,derived,,,,
phase_risk.parquet,age_days_at_phase_start,derived,,,,
phase_risk.parquet,clock_true,derived,,,,
phase_risk.parquet,cohort,derived,,,,
phase_risk.parquet,cohort_season,derived,,,,
phase_risk.parquet,cohort_sort,derived,,,,
phase_risk.parquet,cohort_year,derived,,,,
phase_risk.parquet,days_anchor_late,derived,,,,
phase_risk.parquet,days_at_risk,derived,,,,
phase_risk.parquet,ended_by,derived,,,,
phase_risk.parquet,exit_date,derived,,,,
phase_risk.parquet,phase,derived,,,,
phase_risk.parquet,phase_clock,derived,,,,
phase_risk.parquet,phase_end,derived,,,,
phase_risk.parquet,phase_start,derived,,,,
treatments.parquet,active_substance,derived,,,,
treatments.parquet,age_days_at_treatment,derived,,,,
treatments.parquet,age_months_at_treatment,derived,,,,
treatments.parquet,body_location,derived,,,,
treatments.parquet,dam_status,derived,,,,
treatments.parquet,disease_category,derived,,,,
treatments.parquet,drug_class,derived,,,,
treatments.parquet,in_animals_parquet,derived,,,,
treatments.parquet,is_preventative,derived,,,,
treatments.parquet,is_therapeutic,derived,,,,
treatments.parquet,phase_at_treatment,derived,,,,
treatments.parquet,raw_category,derived,,,,
treatments.parquet,record_horizon,derived,,,,
treatments.parquet,treatment_id,derived,,,,
treatments.parquet,treatment_intent,derived,,,,
treatments.parquet,withdrawal_days,derived,,,,
animals.parquet,animal_id,sourced,,,,
animals.parquet,animal_type,sourced,,,,
animals.parquet,birth_date,sourced,,,,
animals.parquet,category_id,sourced,,,,
animals.parquet,death_date,sourced,,,,
animals.parquet,ear_tag,sourced,,,,
animals.parquet,entry_rule,derived,,,,
animals.parquet,exit_reason_source,derived,,,,
animals.parquet,exit_rule,derived,,,,
animals.parquet,flag_activity_after_exit,derived,,,,
animals.parquet,flag_date_after_pull,derived,,,,
animals.parquet,flag_entry_estimated,derived,,,,
animals.parquet,flag_exit_before_entry,derived,,,,
animals.parquet,flag_exit_estimated,derived,,,,
animals.parquet,flag_left_no_reason,derived,,,,
animals.parquet,flag_left_undated,derived,,,,
animals.parquet,flag_no_birth_date,derived,,,,
animals.parquet,flag_placeholder_birth,derived,,,,
animals.parquet,flag_weaning_after_exit,derived,,,,
animals.parquet,flag_weaning_assumed,derived,,,,
animals.parquet,name,sourced,,,,
animals.parquet,purchase_date,sourced,,,,
animals.parquet,purchased,sourced,,,,
animals.parquet,sale_date,sourced,,,,
animals.parquet,sex,sourced,,,,
animals.parquet,status,sourced,,,,
animals.parquet,weaning_date,sourced,,,,
animals.parquet,weaning_source,derived,,,,
bulls.parquet,animal_id,sourced,,,,
bulls.parquet,animal_type,sourced,,,,
bulls.parquet,birth_date,sourced,,,,
bulls.parquet,birth_weight,sourced,,,,
bulls.parquet,category_id,sourced,,,,
bulls.parquet,death_date,sourced,,,,
bulls.parquet,ear_tag,sourced,,,,
bulls.parquet,entry_rule,derived,,,,
bulls.parquet,exit_reason_source,derived,,,,
bulls.parquet,exit_rule,derived,,,,
bulls.parquet,flag_activity_after_exit,derived,,,,
bulls.parquet,flag_date_after_pull,derived,,,,
bulls.parquet,flag_entry_estimated,derived,,,,
bulls.parquet,flag_exit_before_entry,derived,,,,
bulls.parquet,flag_exit_estimated,derived,,,,
bulls.parquet,flag_failed_bse,derived,,,,
bulls.parquet,flag_left_no_reason,derived,,,,
bulls.parquet,flag_left_undated,derived,,,,
bulls.parquet,flag_no_birth_date,derived,,,,
bulls.parquet,flag_no_bse,derived,,,,
bulls.parquet,flag_no_weights,derived,,,,
bulls.parquet,flag_placeholder_birth,derived,,,,
bulls.parquet,flag_used_despite_fail,derived,,,,
bulls.parquet,flag_weaning_after_exit,derived,,,,
bulls.parquet,flag_weaning_assumed,derived,,,,
bulls.parquet,last_weight,sourced,,,,
bulls.parquet,last_weight_date,sourced,,,,
bulls.parquet,name,sourced,,,,
bulls.parquet,purchase_date,sourced,,,,
bulls.parquet,purchased,sourced,,,,
bulls.parquet,reason_for_sale,sourced,,,,
bulls.parquet,sale_date,sourced,,,,
bulls.parquet,sale_weight,sourced,,,,
bulls.parquet,sex,sourced,,,,
bulls.parquet,status,sourced,,,,
bulls.parquet,weaning_date,sourced,,,,
bulls.parquet,weaning_source,derived,,,,
bulls.parquet,weaning_weight,sourced,,,,
bulls.parquet,yearling_weight,sourced,,,,
calf_fates.parquet,animal_id,sourced,,,,
calf_fates.parquet,c_wean_source,derived,,,,
calf_fates.parquet,flag_exit_before_birth,derived,,,,
calf_fates.parquet,flag_transition_after_exit,derived,,,,
calf_fates.parquet,flag_weaning_assumed,derived,,,,
cow_lactations.parquet,animal_id,sourced,,,,
cow_lactations.parquet,conception_method,sourced,,,,
cow_lactations.parquet,dam_link_source,derived,,,,
cow_lactations.parquet,due_date,sourced,,,,
cow_lactations.parquet,ear_tag,sourced,,,,
cow_lactations.parquet,flag_implausible_multiple,derived,,,,
cow_lactations.parquet,flag_impossible_age,derived,,,,
cow_lactations.parquet,flag_left_censored,derived,,,,
cow_lactations.parquet,flag_long_interval,derived,,,,
cow_lactations.parquet,flag_multiple_birth,derived,,,,
cow_lactations.parquet,flag_no_dam_birthdate,derived,,,,
cow_lactations.parquet,flag_no_service_record,derived,,,,
cow_lactations.parquet,flag_parity_unknown,derived,,,,
cow_lactations.parquet,flag_right_censored,derived,,,,
cow_lactations.parquet,flag_short_interval,derived,,,,
cow_lactations.parquet,flag_spans_horizon,derived,,,,
cow_lactations.parquet,start_rule,derived,,,,
cow_scorecard.parquet,animal_id,sourced,,,,
cow_scorecard.parquet,ear_tag,sourced,,,,
cow_scorecard.parquet,status,sourced,,,,
disease_cases.parquet,animal_id,sourced,,,,
disease_cases.parquet,birth_date,sourced,,,,
disease_cases.parquet,clock_anchor,derived,,,,
disease_cases.parquet,flag_clock_not_true,derived,,,,
disease_cases.parquet,flag_long_case,derived,,,,
disease_cases.parquet,flag_no_birth_date,derived,,,,
disease_cases.parquet,flag_no_diagnosis,derived,,,,
disease_cases.parquet,flag_no_location,derived,,,,
disease_cases.parquet,flag_phase_disagrees,derived,,,,
disease_cases.parquet,flag_pre_horizon_birth,derived,,,,
disease_cases.parquet,flag_single_treatment,derived,,,,
disease_cases.parquet,pasture_id,sourced,,,,
disease_cases.parquet,sex,sourced,,,,
disease_cases.parquet,status,sourced,,,,
locations.parquet,acres_grazeable,sourced,,,,
locations.parquet,animal_id,sourced,,,,
locations.parquet,birth_date,sourced,,,,
locations.parquet,flag_after_pull,derived,,,,
locations.parquet,flag_no_pasture_name,derived,,,,
locations.parquet,flag_open_interval,derived,,,,
locations.parquet,flag_starts_before_entry,derived,,,,
locations.parquet,pasture_id,sourced,,,,
locations.parquet,premises_id,sourced,,,,
locations.parquet,sex,sourced,,,,
phase_risk.parquet,animal_id,sourced,,,,
phase_risk.parquet,birth_date,sourced,,,,
phase_risk.parquet,clock_anchor,derived,,,,
phase_risk.parquet,completed,sourced,,,,
phase_risk.parquet,flag_censored,derived,,,,
phase_risk.parquet,flag_clock_not_true,derived,,,,
phase_risk.parquet,flag_no_birth_date,derived,,,,
phase_risk.parquet,flag_pre_horizon_birth,derived,,,,
phase_risk.parquet,flag_start_before_birth,derived,,,,
phase_risk.parquet,flag_zero_length,derived,,,,
phase_risk.parquet,sex,sourced,,,,
phase_risk.parquet,status,sourced,,,,
treatments.parquet,administered_by,sourced,,,,
treatments.parquet,animal_id,sourced,,,,
treatments.parquet,birth_date,sourced,,,,
treatments.parquet,booster_date,sourced,,,,
treatments.parquet,comments,sourced,,,,
treatments.parquet,diagnosis,sourced,,,,
treatments.parquet,dosage,sourced,,,,
treatments.parquet,ear_tag,sourced,,,,
treatments.parquet,flag_duplicate_event,derived,,,,
treatments.parquet,flag_negative_age,derived,,,,
treatments.parquet,flag_no_birth_date,derived,,,,
treatments.parquet,flag_no_diagnosis,derived,,,,
treatments.parquet,flag_no_withdrawal_date,derived,,,,
treatments.parquet,flag_reference_animal,derived,,,,
treatments.parquet,flag_unclassified_disease,derived,,,,
treatments.parquet,flag_unclassified_drug,derived,,,,
treatments.parquet,lot_number,sourced,,,,
treatments.parquet,manufacturer,sourced,,,,
treatments.parquet,medication,sourced,,,,
treatments.parquet,route,sourced,,,,
treatments.parquet,sex,sourced,,,,
treatments.parquet,temperature,sourced,,,,
treatments.parquet,treatment_date,sourced,,,,
treatments.parquet,withdrawal_date,sourced,,,,
