"table","column","type","filled","rows_in_table","name_in_export","classification","approved_by","approved_date","note"
"bulls.parquet","flag_exit_before_entry","logical",2,1781,FALSE,"derived",,,
"bulls.parquet","flag_exit_estimated","logical",88,1781,FALSE,"derived",,,
"bulls.parquet","flag_failed_bse","logical",98,1781,FALSE,"derived",,,
"bulls.parquet","flag_left_no_reason","logical",739,1781,FALSE,"derived",,,
"bulls.parquet","flag_left_undated","logical",88,1781,FALSE,"derived",,,
"bulls.parquet","flag_no_birth_date","logical",124,1781,FALSE,"derived",,,
"bulls.parquet","flag_no_bse","logical",1270,1781,FALSE,"derived",,,
"bulls.parquet","flag_no_weights","logical",25,1781,FALSE,"derived",,,
"bulls.parquet","flag_placeholder_birth","logical",9,1781,FALSE,"derived",,,
"bulls.parquet","flag_used_despite_fail","logical",6,1781,FALSE,"derived",,,
"bulls.parquet","flag_weaning_after_exit","logical",13,1781,FALSE,"derived",,,
"bulls.parquet","flag_weaning_assumed","logical",140,1781,FALSE,"derived",,,
"bulls.parquet","last_weight","numeric",1496,1781,TRUE,"sourced",,,
"bulls.parquet","last_weight_date","Date",1496,1781,TRUE,"sourced",,,
"bulls.parquet","name","character",1066,1781,TRUE,"sourced",,,
"bulls.parquet","purchase_date","Date",43,1781,TRUE,"sourced",,,
"bulls.parquet","purchased","logical",55,1781,TRUE,"sourced",,,
"bulls.parquet","reason_for_sale","character",334,1781,TRUE,"sourced",,,
"bulls.parquet","sale_date","Date",851,1781,TRUE,"sourced",,,
"bulls.parquet","sale_weight","numeric",74,1781,TRUE,"sourced",,,
"bulls.parquet","sex","character",1781,1781,TRUE,"sourced",,,
"bulls.parquet","status","character",1781,1781,TRUE,"sourced",,,
"bulls.parquet","weaning_date","Date",1378,1781,TRUE,"sourced",,,
"bulls.parquet","weaning_source","character",1781,1781,FALSE,"derived",,,
"bulls.parquet","weaning_weight","numeric",788,1781,TRUE,"sourced",,,
"bulls.parquet","yearling_weight","numeric",650,1781,TRUE,"sourced",,,
"calf_fates.parquet","animal_id","character",4025,4025,TRUE,"sourced",,,
"calf_fates.parquet","c_wean_source","character",3139,4025,FALSE,"derived",,,
"calf_fates.parquet","flag_exit_before_birth","logical",6,4025,FALSE,"derived",,,
"calf_fates.parquet","flag_transition_after_exit","logical",5,4025,FALSE,"derived",,,
"calf_fates.parquet","flag_weaning_assumed","logical",192,4025,FALSE,"derived",,,
"cow_lactations.parquet","animal_id","character",5937,5937,TRUE,"sourced",,,
"cow_lactations.parquet","conception_method","character",2694,5937,TRUE,"sourced",,,
"cow_lactations.parquet","dam_link_source","character",4025,5937,FALSE,"derived",,,
"cow_lactations.parquet","due_date","Date",4396,5937,TRUE,"sourced",,,
"cow_lactations.parquet","ear_tag","character",2354,5937,TRUE,"sourced",,,
"cow_lactations.parquet","flag_implausible_multiple","logical",47,5937,FALSE,"derived",,,
"cow_lactations.parquet","flag_impossible_age","logical",1,5937,FALSE,"derived",,,
"cow_lactations.parquet","flag_left_censored","logical",1186,5937,FALSE,"derived",,,
"cow_lactations.parquet","flag_long_interval","logical",246,5937,FALSE,"derived",,,
"cow_lactations.parquet","flag_multiple_birth","logical",167,5937,FALSE,"derived",,,
"cow_lactations.parquet","flag_no_dam_birthdate","logical",358,5937,FALSE,"derived",,,
"cow_lactations.parquet","flag_no_service_record","logical",1541,5937,FALSE,"derived",,,
"cow_lactations.parquet","flag_parity_unknown","logical",323,5937,FALSE,"derived",,,
"cow_lactations.parquet","flag_right_censored","logical",983,5937,FALSE,"derived",,,
"cow_lactations.parquet","flag_short_interval","logical",183,5937,FALSE,"derived",,,
"cow_lactations.parquet","flag_spans_horizon","logical",318,5937,FALSE,"derived",,,
"cow_lactations.parquet","start_rule","character",5937,5937,FALSE,"derived",,,
"cow_scorecard.parquet","animal_id","character",1625,1625,TRUE,"sourced",,,
"cow_scorecard.parquet","ear_tag","character",924,1625,TRUE,"sourced",,,
"cow_scorecard.parquet","status","character",1625,1625,TRUE,"sourced",,,
"disease_cases.parquet","animal_id","character",2543,2543,TRUE,"sourced",,,
"disease_cases.parquet","birth_date","Date",2384,2543,TRUE,"sourced",,,
"disease_cases.parquet","clock_anchor","character",2499,2543,FALSE,"derived",,,
"disease_cases.parquet","flag_clock_not_true","logical",168,2543,FALSE,"derived",,,
"disease_cases.parquet","flag_long_case","logical",0,2543,FALSE,"derived",,,
"disease_cases.parquet","flag_no_birth_date","logical",159,2543,FALSE,"derived",,,
"disease_cases.parquet","flag_no_diagnosis","logical",283,2543,FALSE,"derived",,,
"disease_cases.parquet","flag_no_location","logical",50,2543,FALSE,"derived",,,
"disease_cases.parquet","flag_phase_disagrees","logical",3,2543,FALSE,"derived",,,
"disease_cases.parquet","flag_pre_horizon_birth","logical",11,2543,FALSE,"derived",,,
"disease_cases.parquet","flag_single_treatment","logical",2103,2543,FALSE,"derived",,,
"disease_cases.parquet","pasture_id","character",2493,2543,TRUE,"sourced",,,
"disease_cases.parquet","sex","character",2520,2543,TRUE,"sourced",,,
"disease_cases.parquet","status","character",2520,2543,TRUE,"sourced",,,
"locations.parquet","acres_grazeable","numeric",51740,65543,TRUE,"sourced",,,
"locations.parquet","animal_id","character",65543,65543,TRUE,"sourced",,,
"locations.parquet","birth_date","Date",63484,65543,TRUE,"sourced",,,
"locations.parquet","flag_after_pull","logical",2,65543,FALSE,"derived",,,
"locations.parquet","flag_no_pasture_name","logical",5488,65543,FALSE,"derived",,,
"locations.parquet","flag_open_interval","logical",1857,65543,FALSE,"derived",,,
"locations.parquet","flag_starts_before_entry","logical",734,65543,FALSE,"derived",,,
"locations.parquet","pasture_id","character",62840,65543,TRUE,"sourced",,,
"locations.parquet","premises_id","character",0,65543,TRUE,"sourced",,,
"locations.parquet","sex","character",65539,65543,TRUE,"sourced",,,
"phase_risk.parquet","animal_id","character",9487,9487,TRUE,"sourced",,,
"phase_risk.parquet","birth_date","Date",8894,9487,TRUE,"sourced",,,
"phase_risk.parquet","clock_anchor","character",9487,9487,FALSE,"derived",,,
"phase_risk.parquet","completed","logical",4625,9487,TRUE,"sourced",,,
"phase_risk.parquet","flag_censored","logical",4862,9487,FALSE,"derived",,,
"phase_risk.parquet","flag_clock_not_true","logical",1097,9487,FALSE,"derived",,,
"phase_risk.parquet","flag_no_birth_date","logical",593,9487,FALSE,"derived",,,
"phase_risk.parquet","flag_pre_horizon_birth","logical",410,9487,FALSE,"derived",,,
"phase_risk.parquet","flag_start_before_birth","logical",5,9487,FALSE,"derived",,,
"phase_risk.parquet","flag_zero_length","logical",153,9487,FALSE,"derived",,,
"phase_risk.parquet","sex","character",9465,9487,TRUE,"sourced",,,
"phase_risk.parquet","status","character",9487,9487,TRUE,"sourced",,,
"treatments.parquet","administered_by","character",3249,4895,TRUE,"sourced",,,
"treatments.parquet","animal_id","character",4895,4895,TRUE,"sourced",,,
"treatments.parquet","birth_date","Date",4676,4895,TRUE,"sourced",,,
"treatments.parquet","booster_date","Date",2,4895,TRUE,"sourced",,,
"treatments.parquet","comments","character",557,4895,TRUE,"sourced",,,
"treatments.parquet","diagnosis","character",2798,4895,TRUE,"sourced",,,
"treatments.parquet","dosage","character",3752,4895,TRUE,"sourced",,,
"treatments.parquet","ear_tag","character",3760,4895,TRUE,"sourced",,,
"treatments.parquet","flag_duplicate_event","logical",82,4895,FALSE,"derived",,,
"treatments.parquet","flag_negative_age","logical",6,4895,FALSE,"derived",,,
"treatments.parquet","flag_no_birth_date","logical",219,4895,FALSE,"derived",,,
"treatments.parquet","flag_no_diagnosis","logical",2097,4895,FALSE,"derived",,,
